Part No,Description,# Models,Fits these models
64320-KYJ-900,"COWL, L. UNDER",10,"CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH"
64320-KYJ-DA0,"COWL, L. UNDER",2,"CBR250RAJ, CBR250RJ"
64320-KZK-900ZA,"COVER, R. FLOOR SIDE *NH411M* FORCE SILVER METALLIC",3,"SCV110FBC, SCV110FC, SCV110FD"
64320-KZK-900ZB,"COVER, R. FLOOR SIDE *NH303M* MAT AXIS GRAY METALLIC",4,"SCV110FBC, SCV110FBH, SCV110FC, SCV110FD"
64320-KZK-900ZC,"COVER, R. FLOOR SIDE *NH105* MAT BLACK(#15-#20)",3,"SCV110FBC, SCV110FC, SCV110FD"
64320-KZK-D20ZA,MAT BLACK(#15-#20) BLACK *NH1*,2,"SCV110FBK, SCV110FH"
64320-MJP-G51,"COVER SET, R. FR. SIDE(WL)",3,"CRF1000DH, CRF1000DJ, CRF1000DK"
64320-MKN-D50,"SHROUD ASSY. B, R.",2,"CB650RAM, CB650RAN"
64320-MKS-E20,"COVER SET, R. FR. SIDE(WL)",4,"CRF1100AL2L, CRF1100AL2M, CRF1100DL2L, CRF1100DL2M"
64320-MLG-EE0,"COVER SET, R. FR. SIDE(WL)",2,"CRF1100AL2N, CRF1100DL2N"
64321-K0A-DB0,"COWL, L. UNDER",2,"CBF300NAN, CBF300NAR"
64321-K0A-E10,"COWL, L. UNDER",1,CBF300NAK
64321-K1L-D00ZB,"COWL, L. UNDER *NH303M* MAT AXIS GRAY METALLIC",2,"CBF190MAL, CBF190MAN"
64321-K1L-D00ZC,"COWL, L. UNDER *NHB05P* PEARL IGNEOUS BLACK",2,"CBF190MAL, CBF190MAN"
64321-K1L-D00ZD,"COWL, L. UNDER *B227M* MAT MARVEL BLUE METALLIC",2,"CBF190MAL, CBF190MAN"
64321-K1L-D00ZE,"COWL, L. UNDER
*R395M*.
MAT SANGRIA RED METALLIC",2,"CBF190MAL, CBF190MAN"
64321-K1L-D00ZG,"COWL, L. UNDER(WOL) *NHC43M* STRONTIUM SILVER METALLIC",1,CBF190MAN
64321-K1P-D00,"COWL, L. MIDDLE",3,"CB190XN, CB190XR, CB190XS"
64321-K4F-D00,"COWL, L. UNDER",1,CBF125ZT
64321-MJE-D00,"COVER, L. FRAME",2,"CBR650FAG, CBR650FAJ"
64322-MKN-D50,"SEAL, SHROUD",2,"CB650RAM, CB650RAN"
64325-K86-D00ZA,"COVER SET, R. FLOOR SIDE(WL) *TYPE6*",1,SCV125SJ
64325-K86-D00ZB,"COVER SET, R. FLOOR SIDE(WL) *TYPE5*",1,SCV125SJ
64325-K86-D00ZC,"COVER SET, R. FLOOR SIDE(WL) *TYPE4*",1,SCV125SJ
64325-K86-D00ZD,"COVER SET, R. FLOOR SIDE(WL) *TYPE3*",1,SCV125SJ
64325-K86-D00ZE,"COVER SET, R. FLOOR SIDE(WL) *TYPE2*",1,SCV125SJ
64325-K86-D00ZF,"COVER SET, R. FLOOR SIDE(WL)
*TYPE1*",1,SCV125SJ
64325-KYJ-900,"STAY, L. COWL UNDER",12,"CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ, CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
64330-K0E-D20,"COWL, CENTER UNDER",1,CBF160FSK
64330-K0L-P00ZZ,"COVER, L. SIDE",1,SCV125L
64330-K0L-P10ZZ,"COVER, L. SIDE",4,"SCV125FP, SCV125N, SCV125S, SCV125T"
64330-K0P-D00ZZ,"COVER, L. SIDE",2,"SCV110LI, SCV110M"
64330-K0P-P10ZZ,"COVER, L. SIDE",4,"SCV110N, SCV110P/SR, SCV110S, SCV110T"
64330-K0Y-D00ZB,"COVER, L. FLOOR SIDE *YR350R* TITONIA ORANGE R",1,SCV110FL
64330-K0Y-D00ZC,"COVER, L. FLOOR SIDE *R232* PATRIOT RED",1,SCV110FL
64330-K0Y-D00ZD,"COVER, L. FLOOR SIDE *NH1* BLACK",3,"SCV110FBL, SCV110FM, SCV110FP"
64330-K0Y-D00ZE,"COVER, L. FLOOR SIDE *NHB69R* ORCUS GRAY R",1,SCV110FL
64330-K0Y-D00ZG,"COVER, L. FLOOR SIDE *B230R* LOMOND BLUE R",1,SCV110FL
64330-K0Y-D70ZA,"COVER SET, FR. TOP(WL) *TYPE1*",1,SCV110FM
64330-K0Y-D70ZB,"COVER SET, FR. TOP(WL)
*R393* SPORTS RED 2",1,SCV110FM
64330-K0Y-DH0ZA,"COVER, L. FLOOR SIDE *YR350R* TITONIA ORANGE R",1,SCV110FR
64330-K0Y-DH0ZB,"COVER, L. FLOOR SIDE *R232* PATRIOT RED",1,SCV110FR
64330-K0Y-DH0ZC,"COVER, L. FLOOR SIDE *NH1* BLACK",4,"SCV110FBR, SCV110FBS, SCV110FR, SCV110FS"
64330-K0Y-DH0ZD,"COVER, L. FLOOR SIDE *B230R* LOMOND BLUE R",1,SCV110FR
64330-K0Y-DH0ZH,"COVER, L. FLOOR SIDE*R421R* IMPERIAL RED R",1,SCV110FS
64330-K1J-D00ZA,"COVER SET, L. FLOOR SIDE(WL) *TYPE9*",2,"SCV125SBT, SCV125SR"
64330-K1J-D00ZB,"COVER SET, L. FLOOR SIDE(WL) *TYPE8*",1,SCV125SL
64330-K1J-D00ZF,"COVER SET, L. FLOOR SIDE(WL) *TYPE4*",2,"SCV125SBR, SCV125SL"
64330-K1J-D00ZP,"COVER SET, L. FLOOR SIDE(WL) *TYPE5 1*",3,"SCV125SBR, SCV125SL, SCV125SR"
64330-K1J-D00ZS,"COVER SET, L. FLOOR SIDE(WL) *TYPE1 1*",1,SCV125SL
64330-K1J-D00ZX,"COVER SET, L. FLOOR SIDE(WL) *TYPE10*",1,SCV125SBR
64330-K1J-D30ZA,"COVER SET, L. FLOOR SIDE(WL) *TYPE2*",1,SCV125SM
64330-K1J-D30ZB,"COVER SET, L. FLOOR SIDE(WL) *TYPE1*",1,SCV125SM
64330-K1J-D30ZC,"COVER SET, L. FLOOR SIDE(WL) *TYPE2 1*",1,SCV125SN
64330-K1J-D40ZA,"COVER SET, L. FLOOR SIDE(WL) *TYPE6*",1,SCV125SN
64330-K1J-D40ZB,"COVER SET, L. FLOOR SIDE(WL) *TYPE5*",1,SCV125SN
64330-K1J-D40ZC,"COVER SET, L. FLOOR SIDE(WL) *TYPE4*",1,SCV125SN
64330-K1J-D40ZD,"COVER SET, L. FLOOR SIDE(WL) *TYPE3*",1,SCV125SN
64330-K1J-D40ZE,"COVER SET, L. FLOOR SIDE(WL) *TYPE2*",1,SCV125SN
64330-K1J-D40ZF,"COVER SET, L. FLOOR SIDE(WL) *TYPE1*",2,"SCV125SN, SCV125SR"
64330-K1J-DB0ZA,"COVER SET, L. FLOOR SIDE(WL) *TYPE1*",4,"SCV125SBR, SCV125SBT, SCV125SR, SCV125ST"
64330-K1J-DB0ZB,"COVER SET, L. FLOOR SIDE(WL) *TYPE2*",1,SCV125SR
64330-K1J-DF0ZA,"COVER SET, L. FLOOR SIDE(WL)
*NH196*............ROSS WHITE",1,SCV125SR
64330-K1J-DG0ZA,"COVER SET, L. FLOOR SIDE(WL) *TYPE2*",1,SCV125ST
64330-K1J-DG0ZB,"COVER SET, L. FLOOR SIDE(WL) *TYPE1*",2,"SCV125SBT, SCV125ST"
64330-K1J-DG0ZC,"COVER SET, L. FLOOR SIDE(WL) *TYPE3*",1,SCV125ST
64330-K1J-DL0ZA,"COVER SET, L. FLOOR SIDE(WL)
*TYPE1*",1,SCV125ST
64330-K24-900ZZ,"COVER, L. SIDE",4,"SCV125E, SCV125G, SCV125H, SCV125K"
64330-K32-900ZA,"COVER, L. FLOOR SIDE *R316M* ALPHA RED METALLIC",2,"SCV110HE, SCV110HF"
64330-K32-900ZB,"COVER, L. FLOOR SIDE *RP193M* AUTUMN BEIGE METALLIC",2,"SCV110HE, SCV110HF"
64330-K32-900ZC,"COVER, L. FLOOR SIDE *P104M* EXOTIC PURPLE METALLIC",1,SCV110HE
64330-K32-900ZD,"COVER, L. FLOOR SIDE *NHA66P* PEARL SUNBEAM WHITE",1,SCV110HE
64330-K32-900ZE,"COVER,L. FLOOR SIDE *P105M* ORCHID PURPLE METALLIC",2,"SCV110HF, SCV110HH"
64330-K32-900ZF,"COVER, L. FLOOR SIDE *NH1* BLACK",2,"SCV110HF, SCV110HH"
64330-K32-900ZG,"COVER, L. FLOOR SIDE *NHB63P* PEARL AMAZING WHITE",2,"SCV110HF, SCV110HH"
64330-K32-900ZH,"COVER, L. FLOOR SIDE
*Y220P*...REARL TRANCE YELLOW",1,SCV110HH
64330-K32-900ZJ,"COVER, L. FLOOR SIDE
*R355M*.IMPERIAL RED METALLIC",1,SCV110HH
64330-K32-900ZK,"COVER, L. FLOOR SIDE
*B221C*......CANDY JAZZY BLUE",1,SCV110HH
64330-K32-900ZL,"COVER, L. FLOOR SIDE",1,SCV110HK
64330-KRP-900ZA,"COVER, L. FLOOR SIDE *NH411M* FORCE SILVER METALLIC",3,"SCV100F3, SCV100F5, SCV100F9"
64330-KRP-900ZC,"COVER, L. FLOOR SIDE *R218M* RADIANT RED METALLIC",1,SCV100F3
64330-KRP-900ZH,"COVER, L. FLOOR SIDE *PB364M* PRISTINE BLUE METALLIC",1,SCV100F5
64330-KVT-900ZZ,"COVER COMP., L. SIDE",3,"SCV100G8, SCV110GA, SCV110GC"
64330-KVT-D00ZZ,"COVER COMP., L. SIDE",2,"SCV110GD, SCV110GFD"
64330-KVT-F00ZZ,"COVER COMP., L. SIDE",6,"SCV110GF, SCV110GFF, SCV110GFH, SCV110GFK, SCV110GH, SCV110GK"
64330-KWP-900ZZ,"COVER COMP., L. SIDE",9,"SCV1109, SCV110B, SCV110D, SCV110E, SCV110F, SCV110G, SCV110H, SCV110J, SCV110L"
64330-KZK-900ZA,"COVER, L. FLOOR SIDE *NH411M* FORCE SILVER METALLIC",3,"SCV110FBC, SCV110FC, SCV110FD"
64330-KZK-900ZB,"COVER, L. FLOOR SIDE *NH303M* MAT AXIS GRAY METALLIC",4,"SCV110FBC, SCV110FBH, SCV110FC, SCV110FD"
64330-KZK-900ZC,"COVER, L. FLOOR SIDE *NH105* MAT BLACK(#15-#20)",3,"SCV110FBC, SCV110FC, SCV110FD"
64330-KZK-D20ZA,BLACK *NH1*,2,"SCV110FBK, SCV110FH"
64331-MKN-D50,"SHROUD C, R.",2,"CB650RAM, CB650RAN"
64332-K1P-D00ZA,"COWL, R. UNDER *NH303M* MAT AXIS GRAY METALLIC",3,"CB190XN, CB190XR, CB190XS"
64334-KPW-900,"COLLAR, BODY COVER",1,CB500XAM
64335-K1P-D00,"STAY, FR. UNDER COWL",3,"CB190XN, CB190XR, CB190XS"
64335-K86-D00ZA,"COVER SET, L. FLOOR SIDE(WL) *TYPE6*",1,SCV125SJ
64335-K86-D00ZB,"COVER SET, L. FLOOR SIDE(WL) *TYPE5*",1,SCV125SJ
64335-K86-D00ZC,"COVER SET, L. FLOOR SIDE(WL) *TYPE4*",1,SCV125SJ
64335-K86-D00ZD,"COVER SET, L. FLOOR SIDE(WL) *TYPE3*",1,SCV125SJ
64335-K86-D00ZE,"COVER SET, L. FLOOR SIDE(WL) *TYPE2*",1,SCV125SJ
64335-K86-D00ZF,"COVER SET, L. FLOOR SIDE(WL)
*TYPE1*",1,SCV125SJ
64336-MKN-D50,"BOX, R. AIR DUCT",2,"CB650RAM, CB650RAN"
64337-K1P-D00,"COWL, CENTER UNDER",3,"CB190XN, CB190XR, CB190XS"
64340-K0E-D20,"STAY, UNDER COWL(FR.)",7,"CBF125ZT, CBF160FSK, CBF190MAL, CBF190MAM, CBF190MAN, CBF190MAR, CBF190MAS"
64340-KYJ-DA0ZD,"PANEL SET, R. MIDDLE(WL) *TYPE1*",2,"CBR250RAJ, CBR250RJ"
64340-KYJ-DA0ZE,"PANEL SET, R. MIDDLE(WL) *TYPE4 1*",2,"CBR250RAJ, CBR250RJ"
64340-KYJ-DA0ZF,"PANEL SET, R. MIDDLE(WL) *TYPE3 1*",2,"CBR250RAJ, CBR250RJ"
64340-KYJ-DA0ZG,"PANEL SET, R. MIDDLE(WL) *TYPE2 1*",2,"CBR250RAJ, CBR250RJ"
64340-KYJ-M90ZA,"PANEL SET, R. MIDDLE(WL)
*TYPE1*",4,"CBR250RAH, CBR250RAJ, CBR250RH, CBR250RJ"
64340-KYJ-T10ZA,"PANEL SET, R. MIDDLE(WL) *TYPE1*",8,"CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RB, CBR250RC, CBR250RD, CBR250RG"
64340-MKP-J80ZA,"COWL SET A, R. SIDE(WL) *TYPE2*",1,CB500XAM
64340-MKP-J80ZB,"COWL SET A, R. SIDE(WL) *TYPE1*",1,CB500XAM
64341-MKN-D50,"COVER, R. FRAME",5,"CB650RAM, CB650RAN, CBR650RAL, CBR650RAM, CBR650RAN"
64342-K1P-D00ZA,"COWL, L. UNDER *NH303M* MAT AXIS GRAY METALLIC",3,"CB190XN, CB190XR, CB190XS"
64342-MKP-J80,"COWL B, R. SIDE",1,CB500XAM
64350-K0E-D20,"STAY, UNDER COWL(RR.)",1,CBF160FSK
64350-K0P-305,"GARNISH SET, FR. TOP(H)",1,SCV110P/SR
64350-K0P-306,"GARNISH SET, FR. TOP(M)",1,SCV110P/SR
64350-KPP-N00,"COWL, R. INNER MIDDLE",7,"CBR150RG, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RD, CBR250RG, CBR250RH"
64350-KPP-T00,"COWL, R. INNER MIDDLE",5,"CBR150RC, CBR250RAB, CBR250RAC, CBR250RB, CBR250RC"
64350-KRP-N40ZA,"COVER SET, R. FLOOR SIDE (WL) *TYPE1*",1,SCV100FA
64350-KYJ-DA0,"COWL, R. INNER MIDDLE",2,"CBR250RAJ, CBR250RJ"
64350-MKP-J80,"COVER ASSY., R. FR. SIDE",1,CB500XAM
64350-MKS-E20ZA,"COWL ASSY., L. MIDDLE(WL) *TYPE1*",2,"CRF1100AL2M, CRF1100DL2L"
64350-MKS-EC0ZA,"COWL ASSY., L. MIDDLE(WL) *TYPE1*",2,"CRF1100AL2L, CRF1100DL2M"
64350-MLG-EE0ZB,"COWL ASSY., L. MIDDLE(WL) *TYPE1*",1,CRF1100DL2N
64350-MLG-EG0ZC,"COWL ASSY., L. MIDDLE(WL) *TYPE1*",1,CRF1100AL2N
64351-K1L-D00,"STAY, R. UNDER COWL",7,"CB190XN, CB190XR, CBF190MAL, CBF190MAM, CBF190MAN, CBF190MAR, CBF190MAS"
64351-K1L-D80,"STAY, R. UNDER COWL",2,"CB190XS, CBF190MAS"
64351-MKN-D50,"COVER, L. FRAME",5,"CB650RAM, CB650RAN, CBR650RAL, CBR650RAM, CBR650RAN"
64352-K1L-D00,"STAY, L. UNDER COWL",8,"CB190XN, CB190XR, CB190XS, CBF190MAL, CBF190MAM, CBF190MAN, CBF190MAR, CBF190MAS"
64352-K4F-D00,"STAY, UNDER COWL",1,CBF125ZT
64355-KRP-N40ZA,"STRIPE, R. FLOOR SIDE COVER *TYPE1*",1,SCV100FA
64360-K0E-D20,"COWL, CENTER UNDER(RR.)",1,CBF160FSK
64360-KPP-T00,"COWL, L. INNER MIDDLE",12,"CBR150RC, CBR150RG, CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH"
64360-KRP-N40ZA,"COVER SET, L. FLOOR SIDE (WL)",1,SCV100FA
64360-KYJ-DA0,"COWL, L. INNER MIDDLE",2,"CBR250RAJ, CBR250RJ"
64360-MJP-F50ZA,"COWL SET, L. MIDDLE(WL) *TYPE1*",1,CRF1000DH
64360-MKK-DE0ZA,"COWL SET, L. MIDDLE(WL) *TYPE1*",1,CRF1000DK
64360-MKK-DL0ZA,"COWL SET, L. MIDDLE(WL) *TYPE1*",1,CRF1000DJ
64361-K1L-D00,"COWL, CENTER UNDER",5,"CBF190MAL, CBF190MAM, CBF190MAN, CBF190MAR, CBF190MAS"
64361-K4F-D00,"COWL, CENTER UNDER",1,CBF125ZT
64365-KRP-N40ZA,"STRIPE, L. FLOOR SIDE COVER *TYPE1*",1,SCV100FA
64370-KPP-T00,"PANEL, R. MIDDLE",4,"CBR150RC, CBR150RG, CBR250RAD, CBR250RAG"
64370-KYJ-900ZA,"PANEL, R. MIDDLE *NH196* ROSS WHITE",2,"CBR250RAC, CBR250RC"
64370-KYJ-900ZD,"PANEL, R. MIDDLE *NH411M* FORCE SILVER METALLIC",4,"CBR250RAB, CBR250RAC, CBR250RB, CBR250RC"
64370-KYJ-900ZG,"PANEL, R. MIDDLE *NH1* BLACK",2,"CBR250RAH, CBR250RH"
64370-KYJ-900ZK,"PANEL, R. MIDDLE *R321* SPORTS RED",2,"CBR250RAH, CBR250RH"
64370-MJP-G51,"COVER SET, L. FR. SIDE(WL)",3,"CRF1000DH, CRF1000DJ, CRF1000DK"
64370-MKS-E20,"COVER SET, L. FR. SIDE(WL)",4,"CRF1100AL2L, CRF1100AL2M, CRF1100DL2L, CRF1100DL2M"
64370-MLG-EE0,"COVER SET, L. FR. SIDE(WL)",2,"CRF1100AL2N, CRF1100DL2N"
64380-K0P-D00,"GARNISH, R. FR. TOP",5,"SCV110LI, SCV110M, SCV110N, SCV110P/SR, SCV110S"
64380-K0P-DR0,"GARNISH, R. FR. TOP...........",2,"SCV110P/SR, SCV110T"
64380-KPP-T00,"PANEL, L. MIDDLE",4,"CBR150RC, CBR150RG, CBR250RAD, CBR250RAG"
64380-KWP-H00,"GARNISH, R. FR. COVER",2,"SCV110J, SCV110L"
64380-KYJ-900ZA,"PANEL, L. MIDDLE *NH196* ROSS WHITE",2,"CBR250RAC, CBR250RC"
64380-KYJ-900ZD,"PANEL, L. MIDDLE *NH411M* FORCE SILVER METALLIC",4,"CBR250RAB, CBR250RAC, CBR250RB, CBR250RC"
64380-KYJ-900ZG,"PANEL, L. MIDDLE *NH1* BLACK",2,"CBR250RAH, CBR250RH"
64380-KYJ-900ZK,"PANEL, L. MIDDLE *R321* SPORTS RED",2,"CBR250RAH, CBR250RH"
64382-K2K-D00,"FILM, PROTECTOR",3,"MC300AN, MC300AP, MC300AS"
64382-MM5-300,"TAPE, COVER",10,"CB650RAM, CB650RAN, CBR650FAG, CBR650FAJ, CBR650RAL, CBR650RAM, CBR650RAN, CRF1000DH, CRF1000DJ, CRF1000DK"
64390-K0P-D00,"GARNISH, L. FR. TOP",5,"SCV110LI, SCV110M, SCV110N, SCV110P/SR, SCV110S"
64390-K0P-DR0,"GARNISH, L. FR. TOP...........",2,"SCV110P/SR, SCV110T"
64390-KWP-H00,"GARNISH, L. FR. COVER",2,"SCV110J, SCV110L"
64400-K0L-D00,"BOX ASSY., BATTERY",1,SCV125L
64400-K0P-D00,"BOX ASSY., BATTERY",2,"SCV110LI, SCV110M"
64400-K1P-D00ZC,"GARNISH SET, L. MIDDLE(WL) *NHC57M* MAT FOGGY SILVER METALLIC",2,"CB190XN, CB190XR"
64400-K1P-D00ZD,"GARNISH SET, L. MIDDLE(WL) *NH303M* MAT AXIS GRAY METALLIC",1,CB190XS
64400-K1P-D00ZE,"GARNISH SET, L. MIDDLE(WL) *NHB05P* PEARL IGNEOUS BLACK",1,CB190XS
64400-KPP-N10ZB,"COWL SET, L. MIDDLE(WL) *TYPE1*",1,CBR150RC
64400-KPP-N20ZA,"COWL SET, L. MIDDLE(WL) *TYPE3*",1,CBR150RG
64400-KPP-N20ZB,"COWL SET, L. MIDDLE(WL) *TYPE2*",1,CBR150RG
64400-KPP-N20ZC,"COWL SET, L. MIDDLE(WL) *TYPE1*",1,CBR150RG
64400-KWF-840ZA,"COWL, L. UNDER *NHB06M* SPACE SILVER METALLIC",1,CBF125MA
64400-KWF-840ZC,"COWL, L. UNDER *R321* SPORTS RED",2,"CBF125MA, CBF125MC"
64400-KWF-840ZF,"COWL, L. UNDER *R101CU* CANDY GLORY RED-U",1,CBF125MB
64400-KWF-840ZH,"COWL, L. UNDER *NH1* BLACK",1,CBF125MC
64400-KYJ-900ZA,"COWL SET, L. MIDDLE(WL) *TYPE2*",4,"CBR250RAB, CBR250RAC, CBR250RB, CBR250RC"
64400-KYJ-900ZC,"COWL SET, L. MIDDLE(WL) *TYPE3*",2,"CBR250RAB, CBR250RB"
64400-KYJ-DA0ZA,"COWL SET, L. MIDDLE(WL) *TYPE4*",2,"CBR250RAJ, CBR250RJ"
64400-KYJ-DA0ZB,"COWL SET, L. MIDDLE(WL) *TYPE3*",2,"CBR250RAJ, CBR250RJ"
64400-KYJ-DA0ZC,"COWL SET, L. MIDDLE(WL) *TYPE2*",2,"CBR250RAJ, CBR250RJ"
64400-KYJ-DA0ZD,"COWL SET, L. MIDDLE(WL) *TYPE1*",2,"CBR250RAJ, CBR250RJ"
64400-KYJ-H10ZA,"COWL SET, L. MIDDLE(WL) *NH196* ROSS WHITE",2,"CBR250RAC, CBR250RC"
64400-KYJ-H80ZB,"COWL SET, L. MIDDLE(WL)*TYPE2*",2,"CBR250RAH, CBR250RH"
64400-KYJ-H80ZC,"COWL SET, L. MIDDLE(WL)*TYPE1*",2,"CBR250RAH, CBR250RH"
64400-KYJ-H80ZD,"COWL SET, L. MIDDLE(WL)
*TYPE3    1*",2,"CBR250RAG, CBR250RG"
64400-KYJ-H80ZE,"COWL SET, L. MIDDLE(WL)
*TYPE2   1*",2,"CBR250RAG, CBR250RG"
64400-KYJ-H80ZF,"COWL SET, L. MIDDLE(WL)
*TYPE1   1*",1,CBR250RG
64400-KYJ-H80ZG,"COWL SET, L. MIDDLE(WL)*TYPE1*",2,"CBR250RAH, CBR250RH"
64400-KYJ-M90ZA,"COWL SET, L. MIDDLE(WL)*TYPE1*",4,"CBR250RAH, CBR250RAJ, CBR250RH, CBR250RJ"
64400-KYJ-S90ZA,"COWL SET, L. MIDDLE(WL) *TYPE1*",1,CBR250RAD
64400-KYJ-T10ZA,"COWL SET, L. MIDDLE(WL) *TYPE1*",2,"CBR250RAD, CBR250RD"
64400-KZK-D21ZA,"COVER SET, R. FLOOR SIDE(WL)",2,"SCV110FH, SCV110FK"
64400-KZK-D21ZB,"COVER SET, R. FLOOR SIDE(WL)",2,"SCV110FH, SCV110FK"
64400-KZK-D21ZC,"COVER SET, R. FLOOR SIDE(WL)
*TYPE4*......................",2,"SCV110FH, SCV110FK"
64400-KZK-D21ZD,"COVER SET, R. FLOOR SIDE(WL)",2,"SCV110FH, SCV110FK"
64400-KZK-E10ZA,"COVER SET, R. FLOOR SIDE(WL) *TYPE3*",1,SCV110FK
64400-KZK-E10ZB,"COVER SET, R. FLOOR SIDE(WL) *TYPE1*",1,SCV110FK
64400-KZK-E10ZC,"COVER SET, R. FLOOR SIDE(WL) *TYPE2*",1,SCV110FK
64400-KZK-E10ZD,"COVER SET, R. FLOOR SIDE(WL)
*TYPE6*",1,SCV110FK
64400-KZK-E10ZE,"COVER SET, R. FLOOR SIDE(WL)
*TYPE5*",1,SCV110FK
64400-KZK-E10ZF,"COVER SET, R. FLOOR SIDE(WL)
*TYPE4*",1,SCV110FK
64400-KZK-F40ZA,"COVER SET, R. FLOOR SIDE(WL) *TYPE4*",2,"SCV110FF, SCV110FH"
64400-KZK-F40ZB,"COVER SET, R. FLOOR SIDE(WL) *TYPE3*",2,"SCV110FF, SCV110FH"
64400-KZK-F40ZC,"COVER SET, R. FLOOR SIDE(WL) *TYPE2*",2,"SCV110FF, SCV110FH"
64400-KZK-F40ZD,"COVER SET, R. FLOOR SIDE(WL) *TYPE1*",2,"SCV110FF, SCV110FH"
64400-MKP-DL0ZB,"COWL SET, L. MIDDLE(WL) *TYPE1*",1,CB500XAM
64400-MKP-J80ZF,"COWL SET, L. MIDDLE(WL) *TYPE1 1*",1,CB500XAM
64401-MJP-G50,"COVER, A.C. GENERATOR CORD",3,"CRF1000DH, CRF1000DJ, CRF1000DK"
64402-MJP-G50,"STAY, FR. A.C. GENERATOR COVER",3,"CRF1000DH, CRF1000DJ, CRF1000DK"
64403-MJP-G50,"STAY, RR. A.C. GENERATOR COVER",3,"CRF1000DH, CRF1000DJ, CRF1000DK"
64410-K0A-D30,"COVER ASSY., FUEL TANK CENTER",1,CBF300NAR
64410-K0A-DB0,"COVER ASSY., FUEL TANK CENTER",1,CBF300NAN
64410-K0A-E10,"COVER ASSY., FUEL TANK CENTER",1,CBF300NAK
64410-K1J-D00,"BOX, BATTERY",3,"SCV125SL, SCV125SM, SCV125SN"
64410-K74-N00,"COVER, TANK CENTER",4,"NVA110BK, NVA110G, NVA110H, NVA110K"
64410-KYJ-S90ZA,"COVER SET, FUEL TANK(WL) *TYPE1*",5,"CBR250RAD, CBR250RAH, CBR250RAJ, CBR250RH, CBR250RJ"
64410-MKN-D50ZA,"SHROUD SET A, L.(WL) *TYPE1*",2,"CB650RAM, CB650RAN"
64411-K1J-D00,"CUSHION, BATTERY",2,"SCV125SL, SCV125SN"
64411-K4F-D00ZA,"COVER, R. FUEL TANK *PB123PA* PEARL SIREN BLUE-A",1,CBF125ZT
64411-K4F-D00ZB,"COVER, R. FUEL TANK*NHB05P* PEARL IGNEOUS BLACK",1,CBF125ZT
64412-K0E-D00,"COVER, R. FUEL TANK(LOWER)",4,"CBF160FSJ, CBF160FSK, CBF160FSM, CBF160FSN"
64412-K0E-DF0,"COVER, R. FUEL TANK LOWER",1,CBF160FSS
64412-K43-900,"SPONGE, FUEL TANK SIDE COVER RUBBER",5,"CBF160MAJ, CBF160MAK, CBF160MG, CBF160MH, CBF160MJ"
64413-K0A-DB0,"FILM, R. TANK COVER PROTECTOR",2,"CBF300NAN, CBF300NAR"
64413-K0A-E10,"FILM, R. TANK COVER PROTECTOR",1,CBF300NAK
64413-K0E-D00,"FILM, R. TANK COVER PROTECTOR",4,"CBF160FSJ, CBF160FSK, CBF160FSM, CBF160FSN"
64413-K0E-DF0,"FILM, R. TANK COVER PROTECTOR",1,CBF160FSS
64413-K1L-D00,"FILM, R. TANK COVER PROTECTOR",5,"CBF190MAL, CBF190MAM, CBF190MAN, CBF190MAR, CBF190MAS"
64413-K1P-D00,"FILM, TANK COVER PROTECTOR",3,"CB190XN, CB190XR, CB190XS"
64413-K43-900,"FILM, FUEL TANK COVER PROTECTOR(R.)",5,"CBF160MAJ, CBF160MAK, CBF160MG, CBF160MH, CBF160MJ"
64413-KSS-C00,"GROMMET, BODY COVER",31,"CB190XN, CB190XR, CB190XS, CB350DM, CB350DSM, CB350RSM, CBF125MEFS, CBF125MEFT, CBF125MEN, CBF125MEP, CBF125MER, CBF125MFS, CBF125ML, CBF125MN, CBF125MP, CBF160MAJ, CBF160MAK, CBF160MG, CBF160MH, CBF160MJ, CBF190MAL, CBF190MAM, CBF190MAN, CBF190MAR, CBF190MAS, MC300AN, MC300AP, MC300AS, SCV125FP, SCV125L, SCV125N"
64414-K0E-D00,"FILM, TANK COVER PROTECTOR",4,"CBF160FSJ, CBF160FSK, CBF160FSM, CBF160FSN"
64414-K0E-DF0,"FILM, TANK COVER PROTECTOR",1,CBF160FSS
64415-K0E-D00ZA,"COVER ASSY., R. FUEL TANK(WL) *TYPE5*",2,"CBF160FSJ, CBF160FSK"
64415-K0E-D00ZB,"COVER ASSY., R. FUEL TANK(WL) *TYPE4*",2,"CBF160FSJ, CBF160FSK"
64415-K0E-D00ZC,"COVER ASSY., R. FUEL TANK(WL) *TYPE3*",2,"CBF160FSJ, CBF160FSK"
64415-K0E-D00ZD,"COVER ASSY., R. FUEL TANK(WL) *TYPE2*",2,"CBF160FSJ, CBF160FSK"
