Part No,Description,# Models,Fits these models
06430-KTN-700,"SHOE SET, BRAKE(JB)",120,"CB110AMF, CB110AMH, CB110C2F, CB110C2G, CB110C2H, CB110C2K, CB110C2MG, CB110C2MH, CB110C2MK, CB110C3MM, CB110CE, CB110CF, CB110CG, CB110CMDM, CB110CMDN, CB110CMDR, CB110CME, CB110CMF, CB110CMG, CB110CMH, CB110D, CB110E, CB110J, CB110MD, CB110ME, CBF110A, CBF110BEN, CBF110BER, CBF110BES, CBF110BL, CBF110BN, CBF110C, CBF110E, CBF110G, CBF110H, CBF110J, CBF110MA, CBF110MC, CBF110ME, CBF110SG, CBF110SH, CBF110SJ, CBF1256, CBF1259, CBF125A, CBF125BH, CBF125C, CBF125C9, CBF125CA, CBF125CC, CBF125CL, CBF125F, CBF125H, CBF125J/K, CBF125L, CBF125L3, CBF125M7, CBF125M9/MF, CBF125MA, CBF125MC, CBF125MC9, CBF125MCA, CBF125MCC, CBF125MEFT, CBF125MEN, CBF125MFS, CBF125MG, CBF125MH, CBF125MJ/MK, CBF125ML, CBF125MN, CBF125MP, CBF125N, CBF125P, CBF125S, CBF125T, CBF150MD, CBF160AL, CBF160AR, CBF160AS, CBF160FSJ, CBF160FSK, CBF160FSM, CBF160FSR, CBF160FSS, CBF160MAJ, CBF160MAK, CBF160MG, CBF160MH, CBF160MJ, NVA110G, NVA110H, NVA110K, SC1504, SCV100CM2, SCV100F3, SCV110GA, SCV110GC, SCV110GFD, SCV110GFF, SCV110GFH, SCV110GFK, SCV125E, SCV125FP, SCV125G, SCV125H, SCV125K, SCV125L, SCV125N, SCV125S, SCV125SBR, SCV125SBT, SCV125SJ, SCV125SK, SCV125SL, SCV125SM, SCV125SN, SCV125SR, SCV125ST, SCV125T"
06430-KVT-D10,"SHOE SET, BRAKE(ASK)",102,"CB110AMF, CB110AMH, CB110BK, CB110C2F, CB110C2G, CB110C2H, CB110C2K, CB110C2MG, CB110C2MH, CB110C2MK, CB110C3MM, CB110CE, CB110CF, CB110CG, CB110CMDK, CB110CMDM, CB110CMDN, CB110CMDR, CB110CME, CB110CMF, CB110CMG, CB110CMH, CB110E, CB110J, CB110ME, CBF110BEN, CBF110BER, CBF110BES, CBF110BK, CBF110BL, CBF110BN, CBF110G, CBF110H, CBF110J, CBF110SBEN, CBF110SBER, CBF110SBES, CBF110SBK, CBF110SBL, CBF110SBN, CBF110SG, CBF110SH, CBF110SJ, CBF125BH, CBF125CL, CBF125F, CBF125H, CBF125J/K, CBF125L, CBF125L3, CBF125MEFS, CBF125MEFT, CBF125MEN, CBF125MEP, CBF125MER, CBF125MFS, CBF125MG, CBF125MH, CBF125MJ/MK, CBF125ML, CBF125MN, CBF125MP, CBF125N, CBF125P, CBF125S, CBF125T, CBF125ZT, CBF160F, CBF160FSJ, CBF160FSK, CBF160FSM, CBF160FSR, CBF160FSS, CBF160G, CBF160H, CBF160MAJ, CBF160MAK, CBF160MG, CBF160MH, CBF160MJ, NVA110G, NVA110H, NVA110K, SCV110GFD, SCV110GFH, SCV110GFK, SCV125FP, SCV125H, SCV125K, SCV125L, SCV125N, SCV125S, SCV125SBR, SCV125SBT, SCV125SJ, SCV125SK, SCV125SL, SCV125SM, SCV125SN, SCV125SR, SCV125ST, SCV125T"
06430-KWP-900,"SHOE SET, BRAKE(JB)",56,"NVA110BK, NVB110H, SCV1109, SCV110B, SCV110D, SCV110E, SCV110F, SCV110FBC, SCV110FBH, SCV110FBK, SCV110FBL, SCV110FBR, SCV110FBS, SCV110FC, SCV110FD, SCV110FF, SCV110FH, SCV110FK, SCV110FL, SCV110FM, SCV110FP, SCV110FR, SCV110FS, SCV110G, SCV110GA, SCV110GC, SCV110GD, SCV110GF, SCV110GH, SCV110GK, SCV110H, SCV110HE, SCV110HF, SCV110HH, SCV110HK, SCV110J, SCV110L, SCV110LI, SCV110M, SCV110N, SCV110P/SR, SCV110S, SCV110T, SCV125E, SCV125FP, SCV125G, SCV125H, SCV125K, SCV125L, SCV125N, SCV125SBR, SCV125SJ, SCV125SK, SCV125SL, SCV125SN, SCV125SR"
06430-KWP-D00,"SHOE SET, BRAKE(ASK)",49,"CD100RNP, CD100RNS, CD100RNT, NVA110BK, NVB110H, SCV110D, SCV110E, SCV110F, SCV110FBH, SCV110FBK, SCV110FBL, SCV110FBR, SCV110FBS, SCV110FD, SCV110FF, SCV110FH, SCV110FK, SCV110FL, SCV110FM, SCV110FP, SCV110FR, SCV110FS, SCV110G, SCV110GH, SCV110GK, SCV110H, SCV110HE, SCV110HF, SCV110HH, SCV110HK, SCV110J, SCV110L, SCV110LI, SCV110M, SCV110N, SCV110P/SR, SCV110S, SCV110T, SCV125FP, SCV125H, SCV125K, SCV125L, SCV125N, SCV125SBR, SCV125SJ, SCV125SK, SCV125SL, SCV125SN, SCV125SR"
06431-MA3-405,"SEAL SET, PISTON",23,"CB350CR, CB350CS, CB350CSR, CB350CSS, CB350CST, CB350CT, CB350DM, CB350DP, CB350DSM, CB350DSN, CB350DSP/DSR, CB350RSM, CB350RSP/RSR, CB500XAM, CBF160MG, CBF160MH, CBF160MJ, CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ"
06431-MAK-003,"SEAL SET, PISTON",6,"CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
06435-K0E-DG1,"PAD SET, RR.",6,"CB190XR, CB190XS, CBF160FSR, CBF160FSS, CBF190MAR, CBF190MAS"
06435-K0Z-901,"PAD SET, RR.",13,"CB350CR, CB350CS, CB350CSR, CB350CSS, CB350CST, CB350CT, CB350DM, CB350DP, CB350DSM, CB350DSN, CB350DSP/DSR, CB350RSM, CB350RSP/RSR"
06435-K2K-D01,"PAD SET, RR.",3,"MC300AN, MC300AP, MC300AS"
06435-KPP-T01,"PAD SET, RR.",2,"CBR150RC, CBR150RG"
